business_name,category,city,address,phone,website,maps_url,rating,review_count,extracted_date,source_query
Solución Migratoria CL,abogados,Santiago,"Serrano 73, oficina 507, 8330126 Santiago, Región Metropolitana, Chile",+56957532412,https://solucionmigratoria.cl/,https://www.google.com/maps/search/?api=1&query=Soluci%C3%B3n%20Migratoria%20CL&query_place_id=ChIJ4wxmNhTFYpYRwcwwAwgB0LE,4.8,742,2026-02-25,abogado Santiago
NOTARÍA SUÁREZ,abogados,Santiago,"Av. Libertad 744, 3800714 Chillán, Ñuble, Chile",+56422457710,http://www.5n.cl/,https://www.google.com/maps/search/?api=1&query=NOTAR%C3%8DA%20SU%C3%81REZ&query_place_id=ChIJdQOPhPLXaJYRp9IuE1arWwc,4.8,535,2026-02-25,abogado Santiago
Abogados Laborales | Ley Laboral,abogados,Santiago,,+56968773151,https://leylaboral.cl/,https://www.google.com/maps/search/?api=1&query=Abogados%20Laborales%20%7C%20Ley%20Laboral&query_place_id=ChIJjxjUU4bT92ERV4mH46147uU,5,236,2026-02-25,abogado Santiago
Lex Juicios Abogados,abogados,Santiago,"de Chile - Enrique Foster Sur 39, 8320263 Santiago, Las Condes, Región Metropolitana, Chile",+56926887712,https://www.lexjuicios.cl/,https://www.google.com/maps/search/?api=1&query=Lex%20Juicios%20Abogados&query_place_id=ChIJixS1tqPFYpYR3pkbUXPK8Q4,4.5,218,2026-02-25,abogado Santiago
LEGALFAM.CL - Defensa Especializada en Familia • Abogados Coquimbo y La Serena.,abogados,Santiago,"Pedro Pablo Muñoz 350, La Serena, Santiago Trigo 511, 1710115 Coquimbo, Chile",+56985999051,https://legalfam.cl/,https://www.google.com/maps/search/?api=1&query=LEGALFAM.CL%20-%20Defensa%20Especializada%20en%20Familia%20%E2%80%A2%20Abogados%20Coquimbo%20y%20La%20Serena.&query_place_id=ChIJQcBcmvPLkZYR1tzLIrPl3MQ,5,174,2026-02-25,abogado Santiago
DefensaDeudores.cl Concepción,abogados,Santiago,"Torre A - Cochrane 635, Oficina 1001, Concepción, Bío Bío, Chile",+566005719300,https://defensadeudores.cl/,https://www.google.com/maps/search/?api=1&query=DefensaDeudores.cl%20Concepci%C3%B3n&query_place_id=ChIJC5eEzda1aZYR0wWNu1zINS8,4.7,163,2026-02-25,abogado Santiago
Schneider Abogados - Estudio Jurídico,abogados,Santiago,"Nueva Tajamar 481, Oficina 2102, Torre Norte World Trade Center Santiago, 7550594 Las Condes, Región Metropolitana, Chile",+56232671946,https://www.schneiderabogados.cl/,https://www.google.com/maps/search/?api=1&query=Schneider%20Abogados%20-%20Estudio%20Jur%C3%ADdico&query_place_id=ChIJwQObjLHPYpYRoCHzn34jrcg,4.8,146,2026-02-25,abogado Santiago
Notaria - Ricardo Salgado Sepúlveda,abogados,Santiago,"Barros Arana 989, 4030511 Concepción, Bío Bío, Chile",+56412480463,http://www.notariasalgado.cl/,https://www.google.com/maps/search/?api=1&query=Notaria%20-%20Ricardo%20Salgado%20Sep%C3%BAlveda&query_place_id=ChIJuRG6-nW1aZYRf2n4Xjr7_hY,2.8,141,2026-02-25,abogado Santiago
Notaria Villarrica,abogados,Santiago,"Pedro Montt 305, Villarrica, Araucanía, Chile",+56452411513,http://www.notariavillarrica.cl/,https://www.google.com/maps/search/?api=1&query=Notaria%20Villarrica&query_place_id=ChIJh9INTTtiFJYRzAx7ND2znSI,3.8,121,2026-02-25,abogado Santiago
Divorcios En Linea,abogados,Santiago,"Huérfanos 1117, oficina 1118, 8340369 Santiago, Región Metropolitana, Chile",+56942141600,http://www.divorciosenlinea.cl/,https://www.google.com/maps/search/?api=1&query=Divorcios%20En%20Linea&query_place_id=ChIJFT5VL3TFYpYRoRbxTPNOOGQ,5,118,2026-02-25,abogado Santiago
Toro Blanco Abogados y Asociados,abogados,Santiago,"Dr. Sótero del Río 326, of 503, 8340381 Santiago, Región Metropolitana, Chile",+56971684485,https://www.toroblancoabogados.cl/,https://www.google.com/maps/search/?api=1&query=Toro%20Blanco%20Abogados%20y%20Asociados&query_place_id=ChIJX9kha7vFYpYRDrbkiDkywiU,4.8,108,2026-02-25,abogado Santiago
"Recurso Legal, Abogados Penalistas, Abogado en Civil, Estudio Jurídico",abogados,Santiago,"calle fabrica, Av. Rondizzoni 1995, oficina 25, 2820000 Santiago, Región Metropolitana, Chile",+56987313951,https://recursolegalabogados.cl/,https://www.google.com/maps/search/?api=1&query=Recurso%20Legal%2C%20Abogados%20Penalistas%2C%20Abogado%20en%20Civil%2C%20Estudio%20Jur%C3%ADdico&query_place_id=ChIJiX-DWDxDY5YRl9IbCxxVV_8,5,93,2026-02-25,abogado Santiago
