business_name,category,city,address,phone,website,maps_url,rating,review_count,extracted_date,source_query
Abogados en Puerto Montt - Calixto & Cía.,abogados,Valparaíso,"Antonio Varas 216, Torre del Puerto, OF 309, 5502712 Puerto Montt, Los Lagos, Chile",+56997979827,https://www.abogadosenpuertomontt.cl/,https://www.google.com/maps/search/?api=1&query=Abogados%20en%20Puerto%20Montt%20-%20Calixto%20%26%20C%C3%ADa.&query_place_id=ChIJr9gUUlA6GJYRq_MbFgZE1AE,4.9,402,2026-02-25,abogado Valparaíso
"ANDRES VEGA ALVARADO, 4ta Notaría de la comuna de Puente Alto",abogados,Valparaíso,"Calle José Manuel Balmaceda 371, Local 113, 8180893 Puente Alto, Región Metropolitana, Chile",+56228507837,http://www.notariavega.cl/,https://www.google.com/maps/search/?api=1&query=ANDRES%20VEGA%20ALVARADO%2C%204ta%20Notar%C3%ADa%20de%20la%20comuna%20de%20Puente%20Alto&query_place_id=ChIJLfVaCavXYpYRQLua5vQOZcY,4.3,285,2026-02-25,abogado Valparaíso
D&C Abogados,abogados,Valparaíso,"Blanco 1215, Oficina 1202 Edificio Nautilus, piso 12, 2362633 Valparaíso, Chile",+56322594705,http://www.dycabogados.cl/,https://www.google.com/maps/search/?api=1&query=D%26C%20Abogados&query_place_id=ChIJQ9tPGizhiZYRCISWoa22pQk,4.9,243,2026-02-25,abogado Valparaíso
NOTARIA HENRIQUEZ COQUIMBO y CONSERVADOR DE MINAS COQUIMBO,abogados,Valparaíso,"Francisco Bilbao 451, 1780792 Coquimbo, Chile",+56512545856,http://www.notariahenriquez.cl/,https://www.google.com/maps/search/?api=1&query=NOTARIA%20HENRIQUEZ%20COQUIMBO%20y%20CONSERVADOR%20DE%20MINAS%20COQUIMBO&query_place_id=ChIJxevkEP_IkZYRHllo62uNJQE,4.4,159,2026-02-25,abogado Valparaíso
SALGADO ABOGADOS,abogados,Valparaíso,"Blanco 1215, oficina 1105, Edificio Nautilus, 2340000 Valparaíso, Chile",+56964193389,http://www.salgadoabogados.cl/,https://www.google.com/maps/search/?api=1&query=SALGADO%20ABOGADOS&query_place_id=ChIJCaCeugfhiZYRpwRurdYhhO8,4.9,134,2026-02-25,abogado Valparaíso
Corporacion de Asistencia Judicial Region de Valparaíso,abogados,Valparaíso,"Prat 772, Valparaíso, Chile",+56323254000,http://www.cajval.cl/,https://www.google.com/maps/search/?api=1&query=Corporacion%20de%20Asistencia%20Judicial%20Region%20de%20Valpara%C3%ADso&query_place_id=ChIJT3M45ijhiZYRLKWYGFt6uuI,3.6,113,2026-02-25,abogado Valparaíso
Notaria Manquehual,abogados,Valparaíso,"Huérfanos 941, local 302, Santiago, Región Metropolitana, Chile",+56224907900,http://www.notariamanquehual.cl/,https://www.google.com/maps/search/?api=1&query=Notaria%20Manquehual&query_place_id=ChIJwfmKpoHFYpYRaVdfN6jlXWs,3,111,2026-02-25,abogado Valparaíso
Dreamlex Abogados,abogados,Valparaíso,"Esmeralda 940, Oficina 104, 2363253 Valparaíso, Chile",+56950125250,http://www.dreamlex.cl/,https://www.google.com/maps/search/?api=1&query=Dreamlex%20Abogados&query_place_id=ChIJX7TeO9zhiZYRnoBtM3Ldb1g,5,76,2026-02-25,abogado Valparaíso
Colegio de Abogados de Chile,abogados,Valparaíso,"segundo piso, Paseo Ahumada 341, Santiago, Región Metropolitana, Chile",+56226396175,http://www.colegioabogados.cl/,https://www.google.com/maps/search/?api=1&query=Colegio%20de%20Abogados%20de%20Chile&query_place_id=ChIJM3rPjKPFYpYR6s7E8Ntx8mY,4.2,56,2026-02-25,abogado Valparaíso
Villegas Otarola Abogados SPA,abogados,Valparaíso,"Pdte. Julio A.Roca 1030, Segundo piso, 6201101 Punta Arenas, Magallanes y la Antártica Chilena, Chile",+56992801275,https://villegasotarola.com/,https://www.google.com/maps/search/?api=1&query=Villegas%20Otarola%20Abogados%20SPA&query_place_id=ChIJo2CrBHpjsr0RxfHH-gQUQT4,4.7,44,2026-02-25,abogado Valparaíso
Notaría Cortés,abogados,Valparaíso,"Erasmo Escala 550, 3820631 Chillán Viejo, Ñuble, Chile",+56422222880,http://www.notariacortes.cl/,https://www.google.com/maps/search/?api=1&query=Notar%C3%ADa%20Cort%C3%A9s&query_place_id=ChIJp2a9MtbXaJYRiKzXAIDfL64,2.6,44,2026-02-25,abogado Valparaíso
Defensoría laboral,abogados,Valparaíso,"Retamo 527, 2340154 Valparaíso, Chile",+56950605533,,https://www.google.com/maps/search/?api=1&query=Defensor%C3%ADa%20laboral&query_place_id=ChIJYXFDzTDhiZYR_cyGP4TO1Rc,4.3,43,2026-02-25,abogado Valparaíso
Cobranzas Cobralet,abogados,Valparaíso,"Agustinas 853, 8320199 Santiago, Región Metropolitana, Chile",+56228633500,http://www.cobralet.cl/,https://www.google.com/maps/search/?api=1&query=Cobranzas%20Cobralet&query_place_id=ChIJgZ-vnKXFYpYRIbpMvxzGzko,1.9,41,2026-02-25,abogado Valparaíso
Bernal y Celis Abogadas,abogados,Valparaíso,"Prat 725, Of. 406, 2340000 Valparaíso, Chile",+56963536589,,https://www.google.com/maps/search/?api=1&query=Bernal%20y%20Celis%20Abogadas&query_place_id=ChIJN1clAi7hiZYRcJpBzeTVOG8,5,34,2026-02-25,abogado Valparaíso
Superintendencia de Insolvencia y Reemprendimiento (Superir),abogados,Valparaíso,"Amunátegui 228, Santiago, Región Metropolitana, Chile",+56224952500,http://www.superir.gob.cl/,https://www.google.com/maps/search/?api=1&query=Superintendencia%20de%20Insolvencia%20y%20Reemprendimiento%20(Superir)&query_place_id=ChIJMWFD5KXFYpYRjocpwzDvpWk,3.9,30,2026-02-25,abogado Valparaíso
Primer Juzgado Civil de Valparaíso,abogados,Valparaíso,"Prat 779, piso 4, 2361810 Valparaíso, Chile",+56322137490,http://www.pjud.cl/,https://www.google.com/maps/search/?api=1&query=Primer%20Juzgado%20Civil%20de%20Valpara%C3%ADso&query_place_id=ChIJocYyOSzhiZYR7_epRavMHaM,4.1,23,2026-02-25,abogado Valparaíso
Castillo Undurraga Abogado,abogados,Valparaíso,,+56961198409,https://www.instagram.com/castillo_undurraga_abogado/,https://www.google.com/maps/search/?api=1&query=Castillo%20Undurraga%20Abogado&query_place_id=ChIJF19ap3a5ZqURkfLs8gH5G3c,5,20,2026-02-25,abogado Valparaíso
Martiz Abogados,abogados,Valparaíso,,+56964653130,https://www.martiz.cl/,https://www.google.com/maps/search/?api=1&query=Martiz%20Abogados&query_place_id=ChIJodwNIQGdrg4RiXUEJkSUF9s,5,18,2026-02-25,abogado Valparaíso
El abogado tuerto,abogados,Valparaíso,"Concepción 281, 2370824 Valparaíso, Chile",+56989292066,https://sites.google.com/view/elabogadotuerto/inicio,https://www.google.com/maps/search/?api=1&query=El%20abogado%20tuerto&query_place_id=ChIJJ-Vq7sbhiZYRibYKwfMFm2Y,4.8,13,2026-02-25,abogado Valparaíso
Ciudad Legal,abogados,Valparaíso,"Yungay 1731, Oficina 215. Edificio Soria, 2340000 Valparaíso, Chile",+56322236004,http://www.ciudadlegal.cl/,https://www.google.com/maps/search/?api=1&query=Ciudad%20Legal&query_place_id=ChIJ1QWf9dfgiZYRufKeE_OIVnQ,5,10,2026-02-25,abogado Valparaíso
Manríquez y Benavides Abogados,abogados,Valparaíso,"Almte. Señoret 70, Oficina 74, 2361794 Valparaíso, Chile",+56322216525,http://mbcia.cl/,https://www.google.com/maps/search/?api=1&query=Manr%C3%ADquez%20y%20Benavides%20Abogados&query_place_id=ChIJJ0BcXCzhiZYRqDKoq_tYv8Y,4.9,9,2026-02-25,abogado Valparaíso
Fundación Educere,abogados,Valparaíso,"Pedro Lagos 240, 8180924 Puente Alto, Región Metropolitana, Chile",+56942494918,https://www.educere.cl/,https://www.google.com/maps/search/?api=1&query=Fundaci%C3%B3n%20Educere&query_place_id=ChIJI6yvZlPWYpYRBORXbYGV1l0,4.4,8,2026-02-25,abogado Valparaíso
DIRECCION REGIONAL DE ARICA Y PARINACOTA - CAJTA,abogados,Valparaíso,"Adrian Zúñiga 812, 1001042 Arica, Arica y Parinacota, Chile",+56582594511,http://www.cajta.cl/,https://www.google.com/maps/search/?api=1&query=DIRECCION%20REGIONAL%20DE%20ARICA%20Y%20PARINACOTA%20-%20CAJTA&query_place_id=ChIJITMrh-ipWpER3qbQiYSWefA,4.4,7,2026-02-25,abogado Valparaíso
Di Lertora Vasquez Romeo,abogados,Valparaíso,"Pl. de La Justicia 45, Valparaíso, Chile",+56989994377,,https://www.google.com/maps/search/?api=1&query=Di%20Lertora%20Vasquez%20Romeo&query_place_id=ChIJWRIuri3hiZYR080C66mCReM,5,7,2026-02-25,abogado Valparaíso
Abogados de Familia,abogados,Valparaíso,"Enrique Mac Iver 822, 8081690 San Bernardo, Región Metropolitana, Chile",+56977503188,,https://www.google.com/maps/search/?api=1&query=Abogados%20de%20Familia&query_place_id=ChIJqQQx-jPZYpYRibtoZH9x38M,5,7,2026-02-25,abogado Valparaíso
MAC Abogados,abogados,Valparaíso,"Paseo Ahumada 312, 8320185 Santiago, Región Metropolitana, Chile",+56226750302,http://www.macabogados.cl/,https://www.google.com/maps/search/?api=1&query=MAC%20Abogados&query_place_id=ChIJ5SIO4aDFYpYReqECRM48GHs,4.8,6,2026-02-25,abogado Valparaíso
Colegio de Abogados de Valparaíso,abogados,Valparaíso,"Pl. de La Justicia, 2362413 Valparaíso, Chile",+56322212962,https://www.abogados-valparaiso.cl/,https://www.google.com/maps/search/?api=1&query=Colegio%20de%20Abogados%20de%20Valpara%C3%ADso&query_place_id=ChIJhVZNpS3hiZYR3D38NNHUzaw,4.2,5,2026-02-25,abogado Valparaíso
Abogados Valpo Laboral,abogados,Valparaíso,"Blanco 1041, Valparaíso, Chile",+56322594357,,https://www.google.com/maps/search/?api=1&query=Abogados%20Valpo%20Laboral&query_place_id=ChIJUdvZXCnhiZYRLRiBsHqFGRY,2.6,5,2026-02-25,abogado Valparaíso
Eugenio Jimenez Larraín,abogados,Valparaíso,"Calle Vicuna Mackenna 370, P01 Dp 08, Ovalle, Coquimbo, Chile",+56532624294,,https://www.google.com/maps/search/?api=1&query=Eugenio%20Jimenez%20Larra%C3%ADn&query_place_id=ChIJD907JFY1jpYRmwIUB_fhwqU,1.8,5,2026-02-25,abogado Valparaíso
ProInnova Abogados,abogados,Valparaíso,"Agustinas 814, 0ficina 1006, 8320223 Santiago, Región Metropolitana, Chile",+56226385232,http://www.proinnova.cl/,https://www.google.com/maps/search/?api=1&query=ProInnova%20Abogados&query_place_id=ChIJQZRQgqHFYpYRY-84RN1PpLY,2.8,5,2026-02-25,abogado Valparaíso
Colegio de Abogados de Chile Regional Concepcion,abogados,Valparaíso,"Castellón 432, Concepción, Bío Bío, Chile",+56412251580,https://www.carc.cl/,https://www.google.com/maps/search/?api=1&query=Colegio%20de%20Abogados%20de%20Chile%20Regional%20Concepcion&query_place_id=ChIJKyKvj9G1aZYR5iljR8xb8no,3.5,4,2026-02-25,abogado Valparaíso
Abogado Antonio Moreno,abogados,Valparaíso,"Gral. Aldunate n° 9, local n° 3, 4790674 Temuco, Araucanía, Chile",+56996551767,https://www.abogadoantoniomoreno.cl/,https://www.google.com/maps/search/?api=1&query=Abogado%20Antonio%20Moreno&query_place_id=ChIJVWpxpIDTFJYR4VyT4xCwdUs,5,4,2026-02-25,abogado Valparaíso
Silva y venegas abogados,abogados,Valparaíso,"Av. Cristobal Colón 842, 6200777 Punta Arenas, Magallanes y la Antártica Chilena, Chile",+56954021957,,https://www.google.com/maps/search/?api=1&query=Silva%20y%20venegas%20abogados&query_place_id=ChIJNxoEPr1jsr0RtLlZa0avfM4,4,4,2026-02-25,abogado Valparaíso
Escuela de Postgrado Derecho UChile,abogados,Valparaíso,"Avenida Santa María 200, Av. Sta. María 214, 7520400 Providencia, Región Metropolitana, Chile",+56229772609,https://postgrados.derecho.uchile.cl/,https://www.google.com/maps/search/?api=1&query=Escuela%20de%20Postgrado%20Derecho%20UChile&query_place_id=ChIJGSSl3oTFYpYRG8LeFotgvxM,4.8,4,2026-02-25,abogado Valparaíso
Cantelli & Cía abogados,abogados,Valparaíso,"Prat 725, oficina 407, 2340000 Valparaíso, Chile",+56940771175,https://www.abogadoscantelli.cl/,https://www.google.com/maps/search/?api=1&query=Cantelli%20%26%20C%C3%ADa%20abogados&query_place_id=ChIJpaPCsyXhiZYR9LFhjIrhKCc,5,3,2026-02-25,abogado Valparaíso
DECA & Asociados Estudio Juridico,abogados,Valparaíso,"Almte. Señoret n°151, Ofc122, Valparaíso, Chile",+56322213966,,https://www.google.com/maps/search/?api=1&query=DECA%20%26%20Asociados%20Estudio%20Juridico&query_place_id=ChIJ5WgTRSzhiZYREEjt4GVTVZA,3.3,3,2026-02-25,abogado Valparaíso
Juzgado de Letras Isla de pascua,abogados,Valparaíso,"Pont, 2770000 Hanga Roa, Isla de Pascua, Valparaíso, Chile",+56322100223,,https://www.google.com/maps/search/?api=1&query=Juzgado%20de%20Letras%20Isla%20de%20pascua&query_place_id=ChIJvQQArLr7R5kRmytsMDzVDTo,5,2,2026-02-25,abogado Valparaíso
FUENTES ABOGADOS- Osvaldo Fuentes Peña.,abogados,Valparaíso,"Edificio Nautilus - Blanco 1215, Oficina 501, Valparaíso, Chile",+56977478613,http://www.fuentesabogados.cl/,https://www.google.com/maps/search/?api=1&query=FUENTES%20ABOGADOS-%20Osvaldo%20Fuentes%20Pe%C3%B1a.&query_place_id=ChIJRVgyVynhiZYRn-vsHF7IOZU,5,2,2026-02-25,abogado Valparaíso
Estudio Juridico Valparaiso,abogados,Valparaíso,"Av. Fundadores 970, of F, Curauma, 2340000 Valparaíso, Chile",+56977036891,http://www.vanguardialegal.cl/,https://www.google.com/maps/search/?api=1&query=Estudio%20Juridico%20Valparaiso&query_place_id=ChIJFwEnBcx1YpYRZnVmfkYPa-s,5,2,2026-02-25,abogado Valparaíso
Juicios & Asesorías SpA,abogados,Valparaíso,"Prat 725, Oficina 204, 2361830 Valparaíso, Chile",+56959337090,http://www.juiciosyasesorias.cl/,https://www.google.com/maps/search/?api=1&query=Juicios%20%26%20Asesor%C3%ADas%20SpA&query_place_id=ChIJ4Y50SCzhiZYR9rOqrns98rA,5,1,2026-02-25,abogado Valparaíso
CENATRAB (Abogados Laborales),abogados,Valparaíso,"Urmeneta 305, oficina 803, 5502760 Puerto Montt, Los Lagos, Chile",+56652229459,,https://www.google.com/maps/search/?api=1&query=CENATRAB%20(Abogados%20Laborales)&query_place_id=ChIJNf11nVE6GJYR5T10i54zXAo,5,1,2026-02-25,abogado Valparaíso
"Estudio Juridico Hector Petit Moreno, Especialista en materia Penal y litigación oral.",abogados,Valparaíso,"Edificio Puerto Principal, Cochrane 639, oficina 46, 2340105 Valparaíso, Chile",+56999120234,,https://www.google.com/maps/search/?api=1&query=Estudio%20Juridico%20Hector%20Petit%20Moreno%2C%20Especialista%20en%20materia%20Penal%20y%20litigaci%C3%B3n%20oral.&query_place_id=ChIJ-4gTD9_hiZYRJ5naFSFGcuo,5,1,2026-02-25,abogado Valparaíso
Quorum Mediación Privada,abogados,Valparaíso,"Prat 846, Piso 3 A, Valparaíso, Chile",+56988078650,,https://www.google.com/maps/search/?api=1&query=Quorum%20Mediaci%C3%B3n%20Privada&query_place_id=ChIJnymu_-PdiZYRMxo69YZ2pN0,5,1,2026-02-25,abogado Valparaíso
Jose Isidoro Villalobos García Huidobro,abogados,Valparaíso,"C. 1 Sur 865, 3460000 Talca, Maule, Chile",+56712218300,,https://www.google.com/maps/search/?api=1&query=Jose%20Isidoro%20Villalobos%20Garc%C3%ADa%20Huidobro&query_place_id=ChIJOVOJWaDGZZYRPf-xaSBmHPw,,0,2026-02-25,abogado Valparaíso
Mohor Asociados,abogados,Valparaíso,"Gregorio Cordovez 490, 1710105 La Serena, Coquimbo, Chile",+56974298185,https://www.mohorasociados.cl/,https://www.google.com/maps/search/?api=1&query=Mohor%20Asociados&query_place_id=ChIJlfsR9RDLkZYRXfFf9agFyq0,,0,2026-02-25,abogado Valparaíso
