business_name,category,city,address,phone,website,maps_url,rating,review_count,extracted_date,source_query
Notaria Esmirna Vidal Moraga,abogados,Viña del Mar,"Antonio Varas 979, 4791266 Temuco, Araucanía, Chile",+56452743434,https://www.notariaesmirnavidalm.cl/,https://www.google.com/maps/search/?api=1&query=Notaria%20Esmirna%20Vidal%20Moraga&query_place_id=ChIJIbIJ693TFJYRdO576xSkVbE,4.4,329,2026-02-25,abogado Viña del Mar
CBR San Pedro de la Paz,abogados,Viña del Mar,"Los Canelos 105, 4131920 San Pedro de la Paz, Bío Bío, Chile",+56412733890,http://www.cbrsanpedrodelapaz.cl/,https://www.google.com/maps/search/?api=1&query=CBR%20San%20Pedro%20de%20la%20Paz&query_place_id=ChIJNYtXtPnJaZYRi15HUU-NhJU,4,150,2026-02-25,abogado Viña del Mar
Abogado Rodolfo Marín,abogados,Viña del Mar,"Traslaviña N° 144, 2° piso, oficina n°2, 2571480 Viña del Mar, Valparaíso, Chile",+56978894541,http://www.rodolfomarin.cl/,https://www.google.com/maps/search/?api=1&query=Abogado%20Rodolfo%20Mar%C3%ADn&query_place_id=ChIJaQIgTLXdiZYRf0BU3fzjHBM,4.8,131,2026-02-25,abogado Viña del Mar
Corporacion de Asistencia Judicial de Viña del Mar,abogados,Viña del Mar,"Calle Libertad 428, 2520739 Viña del Mar, Valparaiso, Valparaíso, Chile",+56323254102,http://www.cajvalparaiso.cl/,https://www.google.com/maps/search/?api=1&query=Corporacion%20de%20Asistencia%20Judicial%20de%20Vi%C3%B1a%20del%20Mar&query_place_id=ChIJKdr59rXmiZYRJFL-Cjj7V9E,3.8,117,2026-02-25,abogado Viña del Mar
Kopaitic & Asociados,abogados,Viña del Mar,"Reñaca Nte. 25, Oficina 1405, 2520000 Viña del Mar, Valparaíso, Chile",+56974717602,http://www.kya.cl/,https://www.google.com/maps/search/?api=1&query=Kopaitic%20%26%20Asociados&query_place_id=ChIJg9O-M-HdiZYRZbhi1UmX8HE,4.9,105,2026-02-25,abogado Viña del Mar
Jadue y Cía Abogados Concón,abogados,Viña del Mar,"Reñaca Edificio Vista Montemar - Reñaca Nte. Nº27, of. 707, 2510000 Concón, Viña del Mar, Valparaíso, Chile",+56994418275,http://www.jadueycia.cl/,https://www.google.com/maps/search/?api=1&query=Jadue%20y%20C%C3%ADa%20Abogados%20Conc%C3%B3n&query_place_id=ChIJMfcGPcndiZYRyuOO3_9s1nU,5,103,2026-02-25,abogado Viña del Mar
Notaría Almendras (ex Guerrero),abogados,Viña del Mar,"Calle 30 Ote. 1528, 3481349 Talca, Maule, Chile",+56712423199,http://notariaguerrero.cl/,https://www.google.com/maps/search/?api=1&query=Notar%C3%ADa%20Almendras%20(ex%20Guerrero)&query_place_id=ChIJ-3SMj2fHZZYRc0NcVNQ2JpE,2,101,2026-02-25,abogado Viña del Mar
Veragua Abogadas,abogados,Viña del Mar,"Comunidad Edificio Libertad - Av. Libertad 798, Oficina 803, 2520000 Viña del Mar, Valparaíso, Chile",+56969029280,http://estudioveragua.cl/,https://www.google.com/maps/search/?api=1&query=Veragua%20Abogadas&query_place_id=ChIJ18GSzU7diZYRSgiL5HbuwBQ,4.9,94,2026-02-25,abogado Viña del Mar
Notaria Gaston Ariel Santibañez Torres,abogados,Viña del Mar,"Av. Pdte. Jorge Alessandri Rodriguez 3177, 4300818 Talcahuano, Bío Bío, Chile",+56412563798,http://www.notariasantibanez.cl/,https://www.google.com/maps/search/?api=1&query=Notaria%20Gaston%20Ariel%20Santiba%C3%B1ez%20Torres&query_place_id=ChIJRxinC3S1aZYRZ9mu7FpndKw,3.2,85,2026-02-25,abogado Viña del Mar
Ernesto Paul Montoya Peredo,abogados,Viña del Mar,"Calle J M Campos 377, Rancagua, O'Higgins, Chile",+56722227581,https://www.notariasdeturno.cl/notaria-ernesto-montoya-peredo/,https://www.google.com/maps/search/?api=1&query=Ernesto%20Paul%20Montoya%20Peredo&query_place_id=ChIJj7GxXxVDY5YRYuV3uvb5IZg,3.2,81,2026-02-25,abogado Viña del Mar
Herrada Hidalgo abogada,abogados,Viña del Mar,"Villanelo 180, oficina 1405, 2520000 Viña del Mar, Valparaíso, Chile",+56966168011,https://www.facebook.com/mariajesusherrada,https://www.google.com/maps/search/?api=1&query=Herrada%20Hidalgo%20abogada&query_place_id=ChIJL9KTTvsGGUARGn3b92lNidk,5,75,2026-02-25,abogado Viña del Mar
Mediación Familiar Concepción,abogados,Viña del Mar,"Angol 436, 4030000 Concepción, Bío Bío, Chile",+56978114648,http://www.mediacionfamiliarconcepcion.cl/,https://www.google.com/maps/search/?api=1&query=Mediaci%C3%B3n%20Familiar%20Concepci%C3%B3n&query_place_id=ChIJzRqviKy1aZYR7GLhhLnhgx0,4.7,72,2026-02-25,abogado Viña del Mar
Notaría Osorno - Notaría Fernández,abogados,Viña del Mar,"Avenida Nueva Mackenna 871, oficina 102, 5310600 Osorno, Los Lagos, Chile",+56642214848,http://www.notariaosorno.cl/,https://www.google.com/maps/search/?api=1&query=Notar%C3%ADa%20Osorno%20-%20Notar%C3%ADa%20Fern%C3%A1ndez&query_place_id=ChIJPZk2DRg3FpYRVXAQGrpcCrY,4.4,71,2026-02-25,abogado Viña del Mar
LeGaltransitO,abogados,Viña del Mar,"Álvarez 1136, Oficina F, 2570011 Viña del Mar, Valparaíso, Chile",+56991451989,http://www.legaltransito.cl/,https://www.google.com/maps/search/?api=1&query=LeGaltransitO&query_place_id=ChIJl-RqUBHdiZYRFMZ5xbWBRgg,4.9,70,2026-02-25,abogado Viña del Mar
Silard y Lara Abogados,abogados,Viña del Mar,"C. Limache 1724, oficina 605, 2520000 Viña del Mar, Valparaíso, Chile",+56961312183,https://www.instagram.com/silardlaraabogados,https://www.google.com/maps/search/?api=1&query=Silard%20y%20Lara%20Abogados&query_place_id=ChIJJ3vzo6vfiZYRoaL0pkgOvRU,4.9,55,2026-02-25,abogado Viña del Mar
Notaría y Conservador de Cunco y Melipeuco,abogados,Viña del Mar,"Av. Llaima 1935, Cunco, Araucanía, Chile",+56452327565,http://www.cbrcunco.cl/,https://www.google.com/maps/search/?api=1&query=Notar%C3%ADa%20y%20Conservador%20de%20Cunco%20y%20Melipeuco&query_place_id=ChIJbd9IuEefFJYROeLQNicXNWM,3.7,51,2026-02-25,abogado Viña del Mar
Notaria Cabezas,abogados,Viña del Mar,"Av. Pdte. Ibáñez 280, 5501399 Puerto Montt, Los Lagos, Chile",+56722695700,https://www.notariacabezas.cl/,https://www.google.com/maps/search/?api=1&query=Notaria%20Cabezas&query_place_id=ChIJ79Iid6Q7GJYRCC7cWPcD7EU,3.6,51,2026-02-25,abogado Viña del Mar
Notaría Angelita Hormazabal,abogados,Viña del Mar,"C. 1 Sur 925, 3461640 Talca, Maule, Chile",+56712685303,https://www.notariahormazabal.cl/,https://www.google.com/maps/search/?api=1&query=Notar%C3%ADa%20Angelita%20Hormazabal&query_place_id=ChIJ11ALjv7DZZYRRu_UG05Ow88,2.8,47,2026-02-25,abogado Viña del Mar
Edificio Torre Cobre,abogados,Viña del Mar,"Av. Balmaceda 1750, 1390000 Calama, Antofagasta, Chile",,https://edificiotorrecobre.cl/,https://www.google.com/maps/search/?api=1&query=Edificio%20Torre%20Cobre&query_place_id=ChIJ5_AvaJ8JrJYRR32BKflUw7E,4.3,47,2026-02-25,abogado Viña del Mar
Abogados de Familia - Viña del Mar - Estudio Jurídico Pacheco,abogados,Viña del Mar,,+56926027534,https://www.estudiojuridicopacheco.com/,https://www.google.com/maps/search/?api=1&query=Abogados%20de%20Familia%20-%20Vi%C3%B1a%20del%20Mar%20-%20Estudio%20Jur%C3%ADdico%20Pacheco&query_place_id=ChIJ0z7OzMcIniURRnowRUBqtGk,5,45,2026-02-25,abogado Viña del Mar
VALERA & JIMÉNEZ ABOGADAS,abogados,Viña del Mar,"12 Nte. N785, 2531172 Viña del Mar, Valparaíso, Chile",+56945367002,https://valerayjimenez.cl/?lightmode,https://www.google.com/maps/search/?api=1&query=VALERA%20%26%20JIM%C3%89NEZ%20ABOGADAS&query_place_id=ChIJkfyFUgPZiZYRolG4-7vLwkE,4.9,41,2026-02-25,abogado Viña del Mar
Divorcio por 150 lucas,abogados,Viña del Mar,"3 Pte. 252, Viña del Mar, Valparaíso, Chile",+56997508812,http://www.divorciopor150lucas.cl/,https://www.google.com/maps/search/?api=1&query=Divorcio%20por%20150%20lucas&query_place_id=ChIJoaM7_uPdiZYR6lfX1HiHlXo,5,41,2026-02-25,abogado Viña del Mar
Asesor Penal - Viña del Mar - Valparaíso,abogados,Viña del Mar,"12 Nte. 785, Oficina 406, Viña del Mar, Valparaíso, Chile",+56986223285,http://www.asesorpenal.cl/,https://www.google.com/maps/search/?api=1&query=Asesor%20Penal%20-%20Vi%C3%B1a%20del%20Mar%20-%20Valpara%C3%ADso&query_place_id=ChIJZ7MV3ODdiZYRu6C9Zb-VtLM,5,40,2026-02-25,abogado Viña del Mar
